,Antiguedad,Anunciante,Balneario,NroBanios,Nro_pisos,Cocheras,Dormitorios,Estado de Inmueble,Luminosidad,Mascotas,Precio,Tipo,TipoCochera,Uso_comercial,Uso_profesional,latitud,longitud,Area_constr_m2,Area_total_m2,'Cuarto de servicio','Deposito','Terraza','Kitchenette','Sala de estar','Sotano','Patio','anx81tico','Comedor diario','Comedor','Banio de servicio','Jardanxadn Interno','Walking Closet','Escritorio','Cocina','Banio independiente','Lavanderanxada','Balcon','Sala','Closet','Banio de visitas','Agua','Guardiananxada','Internet','Luz','Cable','Servicio de Limpieza','Conexion a gas','Sistema de seguridad','Telefono','Areadeportiva','Piscina','Solarium','Sala de internet','Sala de cine','Jardanxadn','Parque interno','Guarderanxada','anx81reas verdes','Club House','Hall de ingreso','Areade BBQ','Gimnasio','Areade sauna','Juegos para ninios','Ingreso independiente','Colegios cercanos','Cerca al mar','Centros comerciales cercanos','Parques cercanos','Acceso personas discapacidad','Frente al mar','Desagaue','Jacuzzi','Chimenea','Intercomunicador','Cerco Electrico','Parrilla','Aire acondicionado','Amoblado','Sauna','Calefaccion','Equipado','Terma','Portero electrico','Cocina con reposteros',Distrito,Provincia,geohash_grado6,geohash_grado5,geohash_grado7,geohash_grado8,preciom2_area_total,preciom2_area_constr,grupo_dist,area_ponderada,probability
5000,3.0,182,80,4.0,2.0,4.0,4,3,0,1,650000.0,0,3,0,2,-12.091972300000002,-76.9498544,320.0,310.0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,70,12,698,102,2411,3128,1971.8670147155633,2840.748410093181,1,289.0563047972754,
5001,4.0,9,93,5.0,2.0,2.0,4,2,1,1,455000.0,2,1,1,1,-12.573303,-76.7108077,230.0,248.0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,120,12,182,55,348,414,1698.239283108369,1890.4612905995175,2,285.69865136490415,
5002,3.0,645,80,4.0,2.0,4.0,3,2,1,1,850000.0,4,3,0,0,-12.076746,-76.9170106,490.0,490.0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,70,12,754,105,2896,3958,1971.8670147155633,2840.748410093181,1,490.0,
5003,3.0,9,80,4.0,2.0,3.0,4,2,1,1,890000.0,0,3,1,1,-12.074686926110132,-76.92740909311227,370.0,1050.0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,70,12,748,105,2818,3813,1971.8670147155633,2840.748410093181,1,2474.171273785273,
5004,8.0,9,16,3.0,3.0,2.0,3,2,1,1,280000.0,1,1,0,0,-12.7002475,-76.6472494,240.0,240.0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,86,12,53,27,69,71,1277.2692664208425,1553.2449875008015,2,240.0,
5005,5.0,9,105,3.0,2.0,2.0,2,3,1,1,190000.0,1,4,1,1,-12.8335607,-76.53545600000002,175.0,175.0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,7,12,105,43,167,184,1996.8556544786154,2005.1744855795348,1,174.99999999999991,
5006,2.0,9,80,4.0,2.0,3.0,3,2,1,1,1020000.0,0,3,1,1,-12.090831,-76.9226713,440.0,510.0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,70,12,717,103,2549,3373,1971.8670147155633,2840.748410093181,1,656.6058664190721,1956.3414304723071
5007,4.0,9,80,5.0,3.0,2.0,4,4,2,1,590000.0,0,1,1,1,-12.0913368,-77.0017613,300.0,300.0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,12,379,76,1365,1773,2131.2732258472793,2153.0430136051687,1,300.0,
5008,2.0,9,80,3.0,2.0,3.0,4,6,1,1,450000.0,0,3,2,2,-12.0622687,-76.9431969,323.0,323.0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,70,12,760,105,2978,4136,1971.8670147155633,2840.748410093181,1,323.0,
5009,1.0,269,80,3.0,2.0,2.0,2,4,2,1,530000.0,0,3,1,1,-12.079561293389,-76.89414352072,290.0,700.0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,70,12,775,108,3049,4239,1971.8670147155633,2840.748410093181,1,1558.6915033117084,
5010,1.0,269,80,4.0,2.0,4.0,3,4,2,1,580000.0,0,1,1,1,-12.098048276278,-76.922772869163,472.0,370.0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70,12,715,103,2534,3339,1971.8670147155633,2840.748410093181,1,156.37430893220903,
5011,2.0,269,80,3.0,3.0,1.0,3,1,2,1,295000.0,4,1,1,1,-12.097624018859,-76.968848240877,180.0,60.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,140,12,693,102,2355,3030,2002.7145887498311,2522.37028455222,1,-191.3243424326952,
5012,3.0,645,80,4.0,2.0,2.0,3,3,1,1,800000.0,4,1,0,0,-12.09058278513686,-76.95141955525219,352.0,282.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,70,12,698,102,2410,3125,1971.8670147155633,2840.748410093181,1,135.3941335809278,
5013,1.0,101,80,5.0,3.0,5.0,4,4,2,1,2000000.0,0,1,1,1,-12.1049543,-77.0529054,800.0,530.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,123,12,341,75,949,1177,3146.749285200451,3144.853126494101,1,-35.47977047356426,
5014,3.0,101,80,4.0,1.0,4.0,3,4,1,1,330000.0,3,1,1,1,-12.4850994,-76.761786,1367.0,1367.0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,108,12,196,58,370,439,1823.67921732464,8173.8924389428785,2,1366.9999999999995,
5015,3.0,331,80,3.0,1.0,2.0,3,1,0,1,350000.0,0,3,1,1,-12.0709271,-76.9419772,222.0,222.0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,70,12,749,105,2833,3835,1971.8670147155633,2840.748410093181,1,222.0,
5016,3.0,364,80,3.0,2.0,4.0,3,2,1,1,1500000.0,0,0,1,1,-12.0915361,-76.9489964,400.0,1018.0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,70,12,698,102,2413,3134,1971.8670147155633,2840.748410093181,1,2312.3203635283803,
5017,1.0,364,80,3.0,2.0,2.0,2,3,1,1,700000.0,0,3,1,1,-12.07725481257889,-76.90367556020561,364.0,527.0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,70,12,776,108,3051,4243,1971.8670147155633,2840.748410093181,1,868.3822318044108,
5018,1.0,270,80,3.0,3.0,1.0,2,2,1,1,170000.0,0,4,1,1,-12.1990036,-77.0056713,150.0,50.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,41,12,258,70,542,671,1200.0055778897788,2055.995442189472,2,-159.43695202724595,
5019,6.0,389,80,2.0,1.0,1.0,2,2,0,1,55000.0,4,1,2,2,-11.82604076750148,-77.03928959978518,98.0,98.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,24,12,961,139,3425,4680,845.0109984997052,757.048967385803,2,98.0,857.80649872507
5020,3.0,416,80,5.0,2.0,4.0,3,4,2,1,2500000.0,0,1,1,1,-12.09072,-76.93405729999998,470.0,1000.0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,70,12,712,103,2506,3284,1971.8670147155633,2840.748410093181,1,2110.015845744404,
5021,3.0,645,80,5.0,3.0,2.0,4,6,1,1,790000.0,0,3,0,0,-12.08167485358662,-76.90025342437764,471.0,511.0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,70,12,775,108,3034,4211,1971.8670147155633,2840.748410093181,1,594.7747808108984,
5022,2.0,601,80,3.0,2.0,3.0,3,3,0,1,720000.0,0,3,1,1,-12.0828754,-76.94558149999997,350.0,798.0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,70,12,745,105,2767,3717,1971.8670147155633,2840.748410093181,1,1736.2775450820618,
5023,3.0,475,80,4.0,3.0,0.0,4,4,2,1,310000.0,0,2,1,1,-9.92240452046617,-76.23502715127914,425.0,320.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,57,7,1173,239,3721,4991,1445.8333642365853,1213.1556333617602,2,100.09120037139178,
5024,3.0,475,80,2.0,2.0,1.0,2,4,2,1,240000.0,0,1,1,1,-12.1096803,-77.0319946,208.0,208.0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,91,12,354,76,1092,1399,2596.08779975437,2361.150732569044,1,207.99999999999997,
5025,1.0,475,80,4.0,3.0,1.0,4,2,1,1,595000.0,0,4,1,1,-12.1128694,-76.97130820000002,400.0,400.0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,140,12,676,102,2187,2760,2002.7145887498311,2522.37028455222,1,400.0,
5026,3.0,475,80,4.0,2.0,1.0,4,6,1,1,260000.0,0,0,2,2,-12.08403322069057,-77.006303483553,178.0,149.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,122,12,418,78,1549,1990,2131.2732258472793,2153.0430136051687,1,88.26328391209864,
5027,3.0,475,80,4.0,2.0,1.0,2,2,1,1,325000.0,0,1,1,1,-8.141155,-79.03837349999998,285.0,285.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,154,10,1059,191,3556,4815,1664.1554934287674,1469.3009290579798,2,285.0,
5028,3.0,645,80,4.0,3.0,2.0,2,2,1,1,770000.0,4,1,0,0,-12.0825505,-76.9278639,317.0,250.0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70,12,747,105,2790,3758,1971.8670147155633,2840.748410093181,1,109.67724214174518,
5029,3.0,475,80,5.0,3.0,0.0,1,4,2,1,86000.0,0,2,1,1,-12.0384134,-76.9570091,108.0,108.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,153,5,785,109,3098,4318,574.1797120793283,635.7415277293572,2,108.0,982.9810409624195
5030,3.0,475,80,3.0,2.0,3.0,3,3,0,1,525000.0,0,3,1,1,-12.1248696,-76.99564620000002,272.0,272.0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,140,12,359,76,1148,1482,2002.7145887498311,2522.37028455222,1,272.0,
5031,1.0,475,104,1.0,1.0,1.0,0,3,0,1,90000.0,1,3,1,1,-12.385535787475462,-76.78091416918687,47.0,205.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,113,12,234,66,450,534,1166.9399478636367,1200.7277674283416,2,535.9103842030486,
5032,3.0,475,80,2.0,1.0,0.0,2,1,0,1,85000.0,0,2,1,1,-6.7714022,-79.8715813,80.0,108.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11,1100,206,3610,4876,1227.8767947425672,1156.7042151150936,2,166.6423465676289,
5033,1.0,475,80,5.0,1.0,5.0,4,2,1,1,433000.0,3,0,1,1,-10.09908746631416,-75.54082707276304,400.0,2500.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,97,15,1197,258,3745,5015,162.84773565061968,1140.6869918699188,2,6898.175992572165,159.79727231568128
5034,4.0,475,80,5.0,2.0,1.0,4,4,2,1,176358.0,0,1,2,1,-12.064276199999998,-77.0531012,257.0,257.0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,12,394,77,1478,1916,1406.8785256226433,1171.812420482278,0,257.0,1492.2246226187958
5035,2.0,475,80,4.0,3.0,2.0,3,6,1,1,490000.0,0,3,1,1,-12.1312784,-76.9780385,288.0,288.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,91,12,641,94,2038,2531,2596.08779975437,2361.150732569044,1,288.0,
5036,1.0,475,80,5.0,2.0,5.0,4,1,1,1,755000.0,0,3,2,2,-12.2087819,-77.006221,500.0,1575.0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,41,12,254,70,520,641,1200.0055778897788,2055.995442189472,2,3826.447234292895,
5037,6.0,475,80,2.0,2.0,2.0,3,3,1,0,300000.0,0,4,0,0,-14.08806733005218,-75.74801161723713,104.0,122.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62,8,15,8,17,17,1243.6172132418462,1529.1718170561514,2,159.69865136490432,
5038,3.0,645,80,5.0,3.0,2.0,3,2,1,0,720000.0,4,3,0,0,-12.083269745936821,-76.91224891742041,407.0,435.0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,70,12,755,105,2909,3996,1971.8670147155633,2840.748410093181,1,493.64234656762886,
5039,3.0,475,80,1.0,3.0,0.0,3,1,1,1,140000.0,0,2,1,1,-16.3959361,-71.5376891,128.0,128.0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6,2,1028,170,3521,4779,1690.9677734873676,3621.837583286299,2,128.0,
5040,3.0,475,60,5.0,2.0,0.0,4,3,1,1,318000.0,1,2,1,1,-12.57618941274437,-76.70310648437056,170.0,260.0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,120,12,183,55,353,419,1698.239283108369,1890.4612905995175,2,448.4932568245214,1715.1954030127517
5041,7.0,475,80,5.0,3.0,1.0,4,2,0,1,470000.0,0,1,1,1,-6.772930499999998,-79.8492208,486.0,486.0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11,1105,206,3618,4884,1227.8767947425672,1156.7042151150936,2,486.0,
5042,6.0,475,27,5.0,3.0,5.0,4,2,0,1,400000.0,1,1,1,1,-5.171673,-80.63460859999998,400.0,600.0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,44,16,1138,216,3679,4948,419.50305170864715,748.6755781531901,2,1018.8739040544921,
5043,3.0,475,80,2.0,3.0,4.0,2,3,1,1,280000.0,4,3,1,1,-6.79230882233612,-79.89765857148728,196.0,353.0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103,11,1094,205,3603,4867,1046.9024661638834,1122.3224472306208,2,681.8160146827763,
5044,3.0,645,80,5.0,3.0,2.0,3,2,1,1,700000.0,4,3,0,0,-12.0831951429231,-76.90885860522414,402.0,362.0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70,12,755,105,2918,4022,1971.8670147155633,2840.748410093181,1,278.22521918910167,
5045,5.0,475,80,4.0,3.0,3.0,4,2,1,1,150000.0,3,0,1,1,-8.07694198735229,-78.90788816253628,205.0,205.0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76,10,1079,199,3584,4845,731.7073170731708,731.7073170731708,2,204.99999999999997,
5046,1.0,475,80,4.0,1.0,4.0,3,3,0,1,470000.0,3,1,1,1,-12.0997014,-76.79012879999998,222.0,1141.0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,2,2,2,2,2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,42,12,835,117,3196,4423,426.60273896971603,1987.2749179063767,2,3065.725589130391,
5047,6.0,475,80,1.0,2.0,0.0,3,3,0,1,180000.0,0,2,0,2,-12.0989274,-77.06573900000002,125.0,125.0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,12,336,75,896,1104,2227.552582992326,1974.5011651049842,2,125.0,
5048,3.0,475,78,5.0,1.0,5.0,3,2,1,1,167000.0,1,1,2,0,-8.08722947035198,-79.11877863846581,150.0,448.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,55,10,1055,188,3551,4809,759.0235363075032,1156.240520927438,2,1072.1221170411932,866.0328529784749
5049,2.0,475,80,5.0,3.0,2.0,4,1,0,1,650000.0,0,3,1,1,-12.10328384593015,-76.9917567031494,467.0,320.0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,122,12,684,102,2258,2892,2131.2732258472793,2153.0430136051687,1,12.1276805199484,
5050,2.0,475,80,3.0,3.0,1.0,4,3,0,1,330000.0,4,1,1,1,-12.1127001,-76.96930379999998,248.0,248.0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,140,12,681,102,2228,2839,2002.7145887498311,2522.37028455222,1,248.0,
5051,3.0,475,80,2.0,2.0,0.0,2,4,2,1,119000.0,0,2,1,1,-6.8782104003009295,-79.81502248251697,66.0,66.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,115,11,1083,202,3588,4851,1851.4520202020205,2469.988344988345,2,66.0,
5052,3.0,645,80,4.0,2.0,3.0,2,4,1,1,680000.0,0,3,0,0,-12.0763235,-76.92541340000002,301.0,344.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,70,12,754,105,2889,3937,1971.8670147155633,2840.748410093181,1,434.05788937171576,
5053,3.0,475,80,4.0,2.0,1.0,3,2,1,1,285000.0,0,0,1,1,-6.87822557948821,-79.81569957092512,130.0,120.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,115,11,1082,202,3587,4849,1851.4520202020205,2469.988344988345,2,99.05630479727542,
5054,3.0,475,80,1.0,1.0,2.0,1,2,1,1,145000.0,0,4,1,1,-6.87869421036708,-79.81569956578,50.0,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,115,11,1082,202,3587,4848,1851.4520202020205,2469.988344988345,2,173.7747808108984,
